### **FCI 그룹별 견종 크기 대조표**

* **크기 기준 (성견 수컷):** 
**XS**(<4kg) / 
**S**(4~15.8kg) / 
**M**(15.8~29.5kg) / 
**L**(29.5~45kg) / 
**XL**(45kg+)

#### **Group 1. 쉽독 & 캐틀독**
| 견종 | 크기 (AKC) | 크기 (한·일) | 비고 |
| :--- | :---: | :---: | :--- |
| 저먼 셰퍼드, 벨지언 쉽독, 콜리, 올드 잉글리시 십독 | **L** | **L** | 암컷은 수컷보다 5~10kg 가벼워 **M**에 가까움 |
| 보더 콜리, 오스트레일리안 셰퍼드, 브리어드 | **M** | **L** | 암컷은 AKC 기준 **S** 상한선에 걸침 |
| 체코슬로바키아 늑대개, 코몬도르, 부비에 데 플랑드르 | **L** | **XL** | 수컷은 압도적인 골격으로 초대형급 인식 |
| **웰시 코기**, 셰틀랜드 쉽독, 푸미, 풀리 | **S** | **M** | AKC 공식 S 분류, 암컷은 확실한 소형 체구 |
| 스키퍼키, 오스트레일리안 켈피, 크로아티안 셰퍼드 | **S** | **S** | 그룹 내 가장 작은 체급군 |

#### **Group 2. 핀셔, 슈나우저, 마스티프 & 산악견**
| 견종 | 크기 (AKC) | 크기 (한·일) | 비고 |
| :--- | :---: | :---: | :--- |
| 그레이트 데인, 마스티프, 세인트 버나드, 레온베르거, 도사견 | **XL** | **XL** | 성별 무관 50kg 이상의 초대형 확정 |
| **아키타견**, 캉갈, 오브차카, 티베탄 마스티프 | **XL** | **XL** | 수컷은 XL이나 암컷은 **L**로 분류되기도 함 |
| 도베르만, 로트와일러, 카네 코르소, 도고 아르헨티노, 복서 | **L** | **L** | 수컷은 L의 상한선, 암컷은 날렵한 대형 |
| 불마스티프, 뉴펀들랜드, 그레이트 피레니즈 | **XL** | **XL** | AKC 기준 초대형 필터 적용 |
| **불도그**, 샤페이 | **M** | **M** | 체구는 작으나 암수 모두 묵직한 중량감 |
| 미니어처 슈나우저, 미니어처 핀셔, 아펜핀셔 | **S** | **S** | 성별에 따른 분류 단계 차이 없음 |

#### **Group 3. 테리어**
| 견종 | 크기 (AKC) | 크기 (한·일) | 비고 |
| :--- | :---: | :---: | :--- |
| **아메리칸 스태퍼드셔**, 불테리어 | **M** | **L** | **AKC 공식 Medium**, 암컷은 확실한 중형 |
| 베들링턴, 스태퍼드셔 불테리어, 미니어처 불테리어 | **S** | **M** | AKC 기준 S, 국내선 전형적인 중형견 인식 |
| 폭스 테리어, 잭 러셀, 웨스트 하이랜드 화이트 | **S** | **S** | 성별 차이가 적은 소형 테리어 표준 |
| **요크셔 테리어**, 실키 테리어 | **XS** | **XS** | **AKC Toy 최하단**, 암수 모두 초소형 |

#### **Group 4 & 5. 닥스훈트 / 스피츠 & 원시견**
| 견종 | 크기 (AKC) | 크기 (한·일) | 비고 |
| :--- | :---: | :---: | :--- |
| **알래스칸 말라뮤트**, **그린란드견** | **L** | **L** | 수컷은 L의 상한선, 암컷은 **M** 상단 체급 |
| 사모예드, 시베리안 허스키, 진돗개, 라이카, 차우차우 | **M** | **L** | 암컷은 수컷보다 확연히 작아 **S~M** 분류 가능 |
| **시바견**, 재패니즈 스피츠, 바센지, 기슈견, 시코쿠견 | **S** | **M** | AKC 공식 S, 암컷은 10kg 미만 개체가 많음 |
| **포메라니안** | **XS** | **XS** | 스피츠 계열 중 유일한 초소형 분류 |

#### **Group 6, 7, 8. 하운드 & 조렵견**
| 견종 | 크기 (AKC) | 크기 (한·일) | 비고 |
| :--- | :---: | :---: | :--- |
| 블러드 하운드, 로디지안 리지백, 포인터, 리트리버 | **L** | **L** | 암컷은 체고가 낮아 **M** 분류 범위에 걸침 |
| 달마시안, 바셋 하운드, 해리어, 아이리시 세터 | **M** | **L** | AKC는 중형 분류, 암컷은 확실한 M 체급 |
| **비글**, 코커 스파니엘 | **S** | **M** | **AKC 공식 S**, 13인치 암컷은 매우 작음 |
| 라고토 로마뇰로 | **M** | **M** | 성별 차이보다 모량에 따른 체감 크기 차이 |

#### **Group 9. 반려견 & 토이독**
| 견종 | 크기 (AKC) | 크기 (한·일) | 비고 |
| :--- | :---: | :---: | :--- |
| 푸들 (Standard) | **L** | **L** | 암컷은 20kg 초반대로 **M** 분류 가능 |
| **티베탄 테리어**, 비숑 프리제, 프렌치 불도그 | **S** | **M** | AKC 기준 S, 골격에 따라 암수 차이 발생 |
| 퍼그, 시추, 페키니즈, 하바니즈, 라사압소 | **S** | **S** | 성별 차이가 분류를 바꾸지 않는 소형군 |
| **말티즈**, **치와와**, **파피용**, 재패니즈 친, 꼬똥 | **XS** | **XS** | 성별 무관 4kg 미만의 초소형 |

#### **Group 10. 시각 하운드**
| 견종 | 크기 (AKC) | 크기 (한·일) | 비고 |
| :--- | :---: | :---: | :--- |
| 아이리시 울프하운드 | **XL** | **XL** | 암컷은 최장신이나 체중은 **L**에 걸치기도 함 |
| 보르조이, 그레이하운드, 아프간 하운드, 살루키 | **L** | **L** | 암컷은 수컷보다 훨씬 가벼운 모델 체형 |
| 휘핏, 아자와크 | **M** | **M** | 암컷은 AKC 기준 **S** 끝자락까지 내려감 |
| **이탈리안 그레이하운드** | **S** | **S** | **체고 때문에 AKC S 분류**, 암수 크기 유사 |
